city,state,natural_hs,natural_college,foreign_hs,foreign_college
Cicero,Illinois,0.8,0.13,0.52,0.09
Elgin,Illinois,0.91,0.29,0.57,0.28
Evanston,Illinois,0.96,0.69,0.85,0.67
Joliet,Illinois,0.91,0.27,0.56,0.22
Naperville,Illinois,0.98,0.65,0.93,0.74
Peoria,Illinois,0.89,0.3,0.84,0.67
Rockford,Illinois,0.86,0.21,0.65,0.26
Schaumburg,Illinois,0.96,0.4,0.9,0.61
Springfield,Illinois,0.92,0.34,0.87,0.54
Waukegan,Illinois,0.87,0.24,0.51,0.24
Bloomington,Indiana,0.93,0.53,0.91,0.84
Carmel,Indiana,0.99,0.68,0.95,0.78
Evansville,Indiana,0.88,0.18,0.74,0.41
Fishers,Indiana,0.98,0.6,0.92,0.75
Fort Wayne,Indiana,0.91,0.26,0.6,0.36
Hammond,Indiana,0.84,0.14,0.52,0.18
South Bend,Indiana,0.87,0.23,0.64,0.41
Cedar Rapids,Iowa,0.94,0.3,0.84,0.54
Davenport,Iowa,0.92,0.27,0.71,0.42
Des Moines,Iowa,0.92,0.26,0.59,0.25
Sioux City,Iowa,0.91,0.23,0.37,0.09
Kansas City,Kansas,0.86,0.17,0.44,0.18
Lawrence,Kansas,0.96,0.52,0.87,0.74
Olathe,Kansas,0.97,0.47,0.77,0.43
Overland Park,Kansas,0.98,0.57,0.87,0.67
Topeka,Kansas,0.9,0.28,0.64,0.39
Wichita,Kansas,0.91,0.3,0.6,0.34
Lexington-Fayette,Kentucky,0.91,0.4,0.73,0.55
Baton Rouge,Louisiana,0.86,0.32,0.79,0.59
Lafayette,Louisiana,0.87,0.33,0.75,0.45
Metairie,Louisiana,0.91,0.34,0.71,0.36
New Orleans,Louisiana,0.86,0.34,0.71,0.5
Shreveport,Louisiana,0.86,0.25,0.74,0.53
Columbia,Maryland,0.97,0.64,0.87,0.68
Germantown,Maryland,0.96,0.49,0.88,0.53
Silver Spring,Maryland,0.98,0.73,0.68,0.43
Brockton,Massachusetts,0.89,0.19,0.67,0.26
Cambridge,Massachusetts,0.97,0.78,0.88,0.79
Fall River,Massachusetts,0.8,0.17,0.45,0.15
Lawrence,Massachusetts,0.85,0.19,0.61,0.17
Lowell,Massachusetts,0.87,0.25,0.67,0.26
Lynn,Massachusetts,0.91,0.23,0.66,0.22
New Bedford,Massachusetts,0.82,0.18,0.47,0.19
Newton,Massachusetts,0.98,0.77,0.95,0.76
Quincy,Massachusetts,0.94,0.43,0.76,0.47
Somerville,Massachusetts,0.95,0.62,0.74,0.54
Springfield,Massachusetts,0.84,0.21,0.66,0.28
Worcester,Massachusetts,0.89,0.34,0.79,0.34
Ann Arbor,Michigan,0.97,0.69,0.95,0.83
Dearborn,Michigan,0.92,0.34,0.62,0.33
Farmington Hills,Michigan,0.96,0.51,0.88,0.68
Flint,Michigan,0.83,0.11,0.7,0.46
Grand Rapids,Michigan,0.89,0.32,0.51,0.36
Kalamazoo,Michigan,0.9,0.32,0.8,0.52
Lansing,Michigan,0.88,0.24,0.74,0.47
Livonia,Michigan,0.95,0.36,0.81,0.45
Sterling Heights,Michigan,0.93,0.27,0.71,0.36
Troy,Michigan,0.96,0.54,0.88,0.73
Warren,Michigan,0.87,0.16,0.65,0.37
Westland,Michigan,0.88,0.16,0.79,0.52
